812,UYO093,2002
835,UYR814,2005
845,UYN-148,2000
726,UYN-056,2000
747,UYN-145,2000
875,UYN-203,2000
753,UYN-351,2000
770,UYN-574,2000
899,WGB389,2016
833,UYN-874,2001
837,UYN-998,2001
954,WGB392,2016
838,UYO023,2002
821,UYO048,2002
817,UYO097,2002
811,UYO114,2002
846,UYO-130,2002
815,UYO-139,2002
813,UYQ414,2004
844,UYO520,2002
855,UYO545,2002
820,UYO733,2003
720,UYO729,2003
615,UYP-002,2003
841,UYP428,2003
831,UYP567,2003
606,UYQ-193,2004
816,UYQ395,2004
871,UYQ416,2004
793,UYR812,2005
795,UYR813,2005
867,UYS277,2006
798,UYR307,2005
944,UYT704,2006
930,UYT665,2006
881,UYT666,2006
773,UYT702,2006
884,UYU397,2007
886,UYU486,2007
794,UYW690,2007
796,UYX180,2007
707,UYQ573,2005
704,UYQ572,2005
904,UYX692,2008
903,UYX584,2008
902,UYY160,2008
905,UYY036,2008
906,UYY035,2008
771,UYY037,2008
869,UYY038,2008
703,UYQ166,2004
797,UYQ155,2004
725,UYY440,2008
609,UYQ-167,2004
895,UYY765,2008
887,UYY767,2008
780,UYY768,2008
890,UYY766,2008
900,UYY769,2008
702,UYQ157,2004
891,UYQ165,2004
892,UYQ159,2004
746,UYO488,2002
706,UZD520,2010
721,UZD546,2010
893,UZD486,2010
730,UZD300,2010
894,UZD531,2010
727,UZD479,2010
716,UZD540,2010
717,UZD514,2010
974,UZD524,2010
976,UZD534,2010
514,TDU373,2012
513,TDU375,2012
508,TDU368,2012
507,TDU372,2012
506,TDU369,2012
515,TDU376,2012
517,TDU660,2012
557,TDU659,2012
519,TDU662,2012
520,TDU663,2012
521,TDU664,2012
509,TDU665,2012
523,STL896,2012
524,TDV118,2012
525,STL243,2012
533,TDV341,2013
532,TDV333,2013
510,TDV334,2013
530,TDV338,2013
529,TDV340,2013
528,TDV332,2013
527,TDV352,2013
526,TDV331,2013
534,TDW241,2013
535,TDW240,2013
536,TDW237,2013
537,TDW239,2013
538,TDW238,2013
539,TZK544,2013
558,TZK545,2013
541,TZK541,2013
542,TZK542,2013
543,TZK543,2013
544,TZL821,2013
566,TZL820,2013
546,TZL844,2013
547,TZL845,2013
975,TZM645,2015
550,TZM646,2014
548,TZM643,2014
896,TDW610,2013
551,WGB354,2015
552,WGB343,2015
553,WGB342,2015
897,WGB353,2016
898,WGB352,2016
950,WGB391,2016
958,WGB390,2016
956,WGB388,2016
554,WGB551,2016
555,WGB552,2016
556,WGB623,2016
967,WGB555,2015
962,WGB556,2016
969,WGB612,2016
973,WGB618,2016
801,WGB821,2016
802,WGB819,2016
803,WGB820,2016
804,WGB843,2016
808,WGB829,2016
977,WGB039,2017
806,WGB500,2016
807,WGD172,2016
500,WGD221,2017
501,WGD222,2017
502,WGD223,2017
503,WGD224,2017
931,WGD114,2017
936,WGD115,2017
997,WGD116,2017
809,UYY839,2008
600,WPV069,2017
504,WPV311,2017
505,WPV312,2017
602,WPV074,2017
601,WPV073,2017
901,WPV324,2017
604,SDV707,2018
605,STN-250,2012
607,TDV471,2013
562,WPV992,2019
559,WPV989,2019
560,WPV990,2019
561,WPV991,2019
563,WPV993,2019
611,WPV984,2019
610,WPV983,2019
612,WGA424,2016
564,WPW127,2019
565,WPW128,2019
613,WGB071,2017
614,WGA529,2015
616,WPV975,2018
617,WPV996,2019
618,WPX036,2020
619,WGA422,2016
620,WGA938,2016
621,WGA423,2016
624,WGB055,2017
623,TDV156,2012
568,WPX904,2023
567,WPX903,2023
570,WPX906,2023
569,WPX905,2023
622,UYV219,2007
625,UZC511,2009
626,UYU767,2007
10000,FXS942,2019
